Movie_name,Movie_release_date,Ratings,Wikipedia_movie_ID,Movie_box_office_revenue,Nomination,diversity,actor_number
A Civil Action,1998,6.6,1367581,112215759.0,True,0.32378250681482723,6
A Constant Forge,2000,7.4,3654037,,False,0.9713475204444818,2
A Countess from Hong Kong,1967,6.0,2974264,,False,1.092765960500042,4
A Crime,2006,5.6,16192018,,False,0.633947652638736,3
A Cry in the Dark,1988,6.9,595909,6908797.0,True,0.633947652638736,3
A Damsel in Distress,1937,6.8,2592742,1465000.0,True,0.633947652638736,3
A Dangerous Method,2011,6.4,28075240,27462041.0,False,1.092765960500042,4
A Dangerous Woman,1993,5.7,23195993,1497222.0,False,1.5385416516886434,5
A Day at the Races,1937,7.5,606121,,True,0.9713475204444818,2
A Day in the Life,2009,5.1,23599975,,False,0.18033688011112042,2
A Different Loyalty,2004,4.9,8485960,,False,1.4782619058470117,3
A Dirty Shame,2004,5.1,1330877,1914166.0,False,1.4782619058470117,3
A Dog of Flanders,1999,6.2,25910532,2148212.0,False,0.18033688011112042,2
A Doll's House,1973,6.4,10381990,,False,0.9713475204444818,2
A Doll's House,1973,6.0,10381990,,False,0.9713475204444818,2
A Double Life,1947,7.0,149791,,True,0.633947652638736,3
A Dream of Passion,1978,6.8,16749582,,False,0.9713475204444818,2
A Dry White Season,1989,7.0,1367502,,True,1.2605435689860718,6
A Face in the Crowd,1957,8.2,2019404,,False,0.9713475204444818,2
A Far Off Place,1993,6.5,5329751,12890752.0,False,0.9713475204444818,2
A Farewell to Arms,1957,5.8,15100596,25000000.0,True,0.9713475204444818,2
A Farewell to Arms,1957,5.8,15100596,25000000.0,True,0.9713475204444818,2
A Few Good Men,1992,7.7,20691749,243240178.0,True,1.4782619058470117,3
A Fine Mess,1986,4.7,5501911,,False,0.9713475204444818,2
A Fish Called Wanda,1988,7.5,308898,62493712.0,True,1.092765960500042,4
A Fistful of Dollars,1964,7.9,441926,,False,0.9713475204444818,2
A Flat,2010,4.4,29640756,,False,0.18033688011112042,2
A Funny Thing Happened on the Way to the Forum,1966,6.8,12666854,3000000.0,True,0.9713475204444818,2
"A Genius, Two Partners and a Dupe",1975,6.2,11104130,,False,0.9713475204444818,2
A Get2Gether,2005,4.9,19022589,,False,0.9713475204444818,2
A Girl in Australia,1971,6.9,18794003,,False,0.9713475204444818,2
A Good Man in Africa,1994,5.0,15172134,2308390.0,False,1.4782619058470117,3
A Good Old Fashioned Orgy,2011,6.1,31838471,200227.0,False,1.092765960500042,4
A Good Woman,2004,6.4,1960065,6877842.0,False,0.633947652638736,3
A Good Year,2006,6.9,3894411,42064105.0,False,1.2815126662683904,6
A Goofy Movie,1995,6.9,155785,35348597.0,False,0.18033688011112042,2
A Grande Arte,1991,6.1,1813096,356825.0,False,1.4782619058470117,3
A Guide for the Married Man,1967,6.6,8181832,,False,0.4620835257796325,4
A Guide to Recognizing Your Saints,2006,6.9,5529883,2035468.0,False,1.092765960500042,4
A Guy Named Joe,1943,6.9,5566354,,True,0.18033688011112042,2
A Guy Thing,2003,5.6,1394726,17432163.0,False,1.092765960500042,4
A Hard Day's Night,1964,7.5,248601,,True,0.18033688011112042,2
A History of Violence,2005,7.4,1726126,60740827.0,True,0.12022458674074694,3
A Hole in the Head,1959,6.2,5577180,,True,0.633947652638736,3
A Home at the End of the World,2004,6.6,20331472,,False,0.18033688011112042,2
A Home of Your Own,1964,6.7,6234175,,False,0.9713475204444818,2
A House Is Not a Home,1964,5.8,3267547,,True,0.633947652638736,3
A Kid in King Arthur's Court,1995,4.7,286852,13406717.0,False,0.9713475204444818,2
A Killer Walks,1952,5.6,21760723,,False,0.9713475204444818,2
A Kiss Before Dying,1991,5.7,1667210,15429177.0,False,1.092765960500042,4
A Knight's Tale,2001,7.0,65669,117487473.0,False,1.9718967441318,6
A League of Their Own,1992,7.3,543433,132440069.0,False,0.2946177086188567,6
A Life Less Ordinary,1997,6.3,915192,4366722.0,False,1.5385416516886434,5
A Little Bit of Heaven,2011,6.2,27995292,1296937.0,False,2.383850824833045,5
A Little Help,2010,5.6,27440393,,False,0.12022458674074694,3
A Little Princess,1995,7.6,3343617,10015449.0,True,1.4782619058470117,3
A Little Sex,1982,4.9,12786251,,False,0.18033688011112042,2
A Little Trip to Heaven,2005,5.9,3535700,,False,1.4782619058470117,3
A Lonely Place to Die,2011,6.2,27577419,25345000.0,False,0.9713475204444818,2
A Lot Like Love,2005,6.6,1745339,42886719.0,False,1.9426950408889636,4
A Love Song for Bobby Long,2004,7.1,1195543,1841260.0,False,0.633947652638736,3
A Lovely Way to Die,1968,5.1,27757636,,False,1.4782619058470117,3
A Low Down Dirty Shame,1994,5.9,2797150,29392418.0,False,1.4782619058470117,3
A Man Apart,2003,6.0,1675523,44350926.0,False,0.9713475204444818,2
